EF_W_COMP_WORKOVERS_FRAC.FACILITY_NAME,EF_W_COMP_WORKOVERS_FRAC.FACILITY_ID,EF_W_COMP_WORKOVERS_FRAC.REPORTING_YEAR,EF_W_COMP_WORKOVERS_FRAC.TABLE_NUM,EF_W_COMP_WORKOVERS_FRAC.TABLE_DESC,EF_W_COMP_WORKOVERS_FRAC.INDUSTRY_SEGMENT,EF_W_COMP_WORKOVERS_FRAC.SUB_BASIN_IDENTIFIER,EF_W_COMP_WORKOVERS_FRAC.WELL_TYPE,EF_W_COMP_WORKOVERS_FRAC.IS_GAS_FLARED,EF_W_COMP_WORKOVERS_FRAC.REDUCED_EMISSION_COMPLETIONS,EF_W_COMP_WORKOVERS_FRAC.TOTAL_COMPLETIONS,EF_W_COMP_WORKOVERS_FRAC.REDUCED_EMISSION_WORKOVERS,EF_W_COMP_WORKOVERS_FRAC.TOTAL_WORKOVERS,EF_W_COMP_WORKOVERS_FRAC.OIL_OR_GAS_WELL,EF_W_COMP_WORKOVERS_FRAC.EQUATION_USED,EF_W_COMP_WORKOVERS_FRAC.FLOW_VOLUME,EF_W_COMP_WORKOVERS_FRAC.FLOW_RATE,EF_W_COMP_WORKOVERS_FRAC.ANNUAL_CH4_EMISSIONS
Basin 160A - Appalachia,1010350,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - RITCHIE  WV (85) - Shale gas,Horizontal,No,Yes,7,,,,Equation W-10B,0,61964.3,18.466
Chesapeake Appalachia LLC  160A - Appalachian Basin (Eastern Overthrust Area),1008523,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - SULLIVAN  PA (113) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10A,,,0
Chief Oil & Gas LLC (160A),1009485,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - SULLIVAN  PA (113) - Shale gas,Horizontal,Yes,Yes,11,,,,Equation W-10B,15955000,118185.1851852,5.97
Chesapeake Appalachia LLC  160A - Appalachian Basin (Eastern Overthrust Area),1008523,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - SUSQUEHANNA  PA (115) - Shale gas,Horizontal,No,Yes,18,,,,Equation W-10A,,,182.797
Appalachian Basin (Eastern Overthrust Area),1010721,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - SUSQUEHANNA  PA (115) - Shale gas,Horizontal,Yes,Yes,21,,,,Equation W-10B,279848000,79322,156.4
Cabot Oil & Gas Corporation 160A Appalachian Basin (Eastern Overthrust area),1008503,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - SUSQUEHANNA  PA (115) - Shale gas,Horizontal,Yes,Yes,4,,,,Equation W-10B,51732000,89359.4,252.59
Cabot Oil & Gas Corporation 160A Appalachian Basin (Eastern Overthrust area),1008503,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - SUSQUEHANNA  PA (115) - Shale gas,Horizontal,No,Yes,50,,,,Equation W-10B,0,248783.3,4778.89
Cabot Oil & Gas Corporation 160A Appalachian Basin (Eastern Overthrust area),1008503,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - SUSQUEHANNA  PA (115) - Shale gas,Horizontal,Yes, No,5,,,,Equation W-10B,181469000,83150,399.14
Cabot Oil & Gas Corporation 160A Appalachian Basin (Eastern Overthrust area),1008503,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - SUSQUEHANNA  PA (115) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,0,0
Chief Oil & Gas LLC (160A),1009485,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - SUSQUEHANNA  PA (115) - Shale gas,Horizontal,No,Yes,13,,,,Equation W-10B,0,0,0
Arsenal Resources  LLC 160A Appalachian Basin,1008795,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - TAYLOR  WV (91) - Shale gas,Horizontal,No,Yes,8,,,,Equation W-10B,0,0,0
SWEPI LP (Shell)  Appalachian Basin (Eastern Overthrust Area) 160A,1008401,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - TIOGA  PA (117) - Shale gas,Horizontal,Yes,Yes,14,,,,Equation W-10B,524000,130509,24.04
Seneca East Facilities,1009301,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - TIOGA  PA (117) - Shale gas,Horizontal,Yes,No,2,,,,Equation W-10B,155070000,34500,58.4
Appalachian Basin (Eastern Overthrust Area),1010721,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - TIOGA  PA (117) - Shale gas,Horizontal,Yes,Yes,2,,,,Equation W-10B,135659000,403747,75.8
Antero Resources - 160A - Appalachian Basin (Eastern Overthurst Area),1010183,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - TYLER  WV (95) - Shale gas,Horizontal,Yes,Yes,9,,,,Equation W-10B,7821000,114678.1001549,31.417
Antero Resources - 160A - Appalachian Basin (Eastern Overthurst Area),1010183,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - TYLER  WV (95) - Shale gas,Horizontal,No,Yes,2,,,,Equation W-10B,0,0,0
Antero Resources - 160A - Appalachian Basin (Eastern Overthurst Area),1010183,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - TYLER  WV (95) - Shale gas,Horizontal,Yes,No,1,,,,Equation W-10B,70204000,345832.5123153,42.475
Equinor USA Onshore Properties - APB Basin 160A,1011688,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - TYLER  WV (95) - Shale gas,Horizontal,No,Yes,3,,,,Equation W-10A,,,33.498
Rice Drilling B  LLC - Basin 160A,1011861,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Shale gas,Hoizontal,No,Yes,30,,,,Equation W-10B,0,3130333.375,7.385
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,43999.5833333,3.07
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,39420,0
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,250.8333333,0
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,37999.5833333,5.771
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,56000,5.517
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,16000,1.839
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,24000,3.349
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,38000,2.496
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,12000,.985
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,0,0
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,26000,2.775
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,60000,13.299
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,70800,21.505
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,148600.4166667,38.427
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,36598.3333333,4.507
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,23600,4.65
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,45440,6.714
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,5600,.759
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,30000,8.004
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,56000,14.941
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,8800,.65
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,104000,10.245
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,58000,16.189
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,70000,11.493
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,70000,13.217
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,229958.3333333,7.551
Chevron 160A Appalachian Basin,1009098,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Shale gas,Horizontal,No,Yes,9,,,,Equation W-10B,0,0,0
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Shale gas,Horizontal,No,Yes,87,,,,Equation W-10B,0,75965.5172414,26.78
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Shale gas,Horizontal,Yes,Yes,16,,,,Equation W-10B,1782000,34187.5,2.8
Basin 160A - Appalachia,1010350,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Shale gas,Horizontal,No,Yes,6,,,,Equation W-10B,0,55666.7,64.952
Chevron 160A Appalachian Basin,1009098,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WESTMORELAND  PA (129) - Shale gas,Horizontal,No,Yes,7,,,,Equation W-10B,0,0,0
Equinor USA Onshore Properties - APB Basin 160A,1011688,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WETZEL  WV (103) - Shale gas,Horizontal,No,Yes,5,,,,Equation W-10A,,,105.359
Stone Energy 160A,1009802,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WETZEL  WV (103) - Shale gas,Horizontal,No,Yes,2,,,,Equation W-10B,0,18666.5,4.9
Ascent Resources - Utica (160a),1011454,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WETZEL  WV (103) - Shale gas,Horizontal,No,Yes,18,,,,Equation W-10B,0,0,0
Chesapeake Appalachia LLC  160A - Appalachian Basin (Eastern Overthrust Area),1008523,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WYOMING  PA (131) - Shale gas,Horizontal,No,Yes,12,,,,Equation W-10A,,,191.664
Warren E&P  Inc.,1011616,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WYOMING  PA (131) - Shale gas,Horizontal,No,Yes,4,,,,Equation W-10B,0,243000,6.84
Chief Oil & Gas LLC (160A),1009485,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WYOMING  PA (131) - Shale gas,Horizontal,Yes,Yes,1,,,,Equation W-10B,1972000,197200,.736
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - DICKENSON  VA (51) - Other tight reservoir rock,Vertical,No,Yes,2,,,,Equation W-10B,0,15900,.14
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - DICKENSON  VA (51) - Other tight reservoir rock,Vertical,Yes,Yes,1,,,,Equation W-10B,253000,12000,.15
EXCO Resources (PA)  LLC - Basin 160A,1008673,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - JEFFERSON  PA (65) - Other tight reservoir rock,Horizontal,Yes,No,1,,,,Equation W-10B,5989583,30833,2.159
Chesapeake Appalachia LLC  160A - Appalachian Basin (Eastern Overthrust Area),1008523,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - JEFFERSON  OH (81) - Shale gas,Horizontal,No,Yes,6,,,,Equation W-10A,,,0
Chesapeake Exploration LLC  160A - Appalachian Basin (Eastern Overthrust Area),1008524,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - JEFFERSON  OH (81) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10A,,,0
XTO Energy Inc 160A Appalachian E Overthrust,1008116,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - JEFFERSON  PA (65) - Shale gas,Horizontal,Yes,Yes,2,,,,Equation W-10B,85291.6667,1023.5,.16
Rex Energy Corporation Appalachian Basin Eastern Overthrust (160A) Operations,1011308,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - LAWRENCE  PA (73) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,0,0
Chief Oil & Gas LLC (160A),1009485,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - LYCOMING  PA (81) - Shale gas,Horizontal,Yes,Yes,4,,,,Equation W-10B,658000,23500,.246
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - LYCOMING  PA (81) - Shale gas,Horizontal,No,Yes,17,,,,Equation W-10B,0,180714.1399315,78.67
Chevron 160A Appalachian Basin,1009098,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - MARSHALL  WV (51) - Shale gas,Horizontal,No,Yes,19,,,,Equation W-10B,0,0,0
Basin 160A - Appalachia,1010350,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - MARSHALL  WV (51) - Shale gas,Horizontal,Yes,Yes,6,,,,Equation W-10B,377500,24000,20.026
Basin 160A - Appalachia,1010350,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - MARSHALL  WV (51) - Shale gas,Horizontal,No,Yes,6,,,,Equation W-10B,0,37000,55.521
Seneca East Facilities,1009301,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - MC KEAN  PA (83) - Shale gas,Horizontal,No,Yes,11,,,,Equation W-10B,0,7590.9,37.2
Chevron 160A Appalachian Basin,1009098,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - MERCER  PA (85) - Shale gas,Horizontal,Yes,No,2,,,,Equation W-10B,28617200,0,8.34
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - MONROE  OH (111) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,0,0
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - MONROE  OH (111) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,15800,.429
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - MONROE  OH (111) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,0,0
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - MONROE  OH (111) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,320000,0
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - MONROE  OH (111) - Shale gas,Horizontal,YES,Yes,1,,,,Equation W-10B,937000,750,.339
Antero Resources - 160A - Appalachian Basin (Eastern Overthurst Area),1010183,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - MONROE  OH (111) - Shale gas,Horizontal,No,Yes,13,,,,Equation W-10B,0,0,0
Gulfport Energy Appalachian Basin 160-A Eastern Overthrust Region,1011706,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - MONROE  OH (111) - Shale gas,Horizontal,Yes,Yes,32,,,,Equation W-10B,6476,109.8,.001
ConocoPhillips Gulf Coast Basin 220  Production,1007485,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - DE WITT  TX (123) - Oil,Horizontal,No,Yes,65,,,,Equation W-10B,0,0,0
EP Energy E&P 220 Gulf Coast Basin,1008092,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - DIMMIT  TX (127) - Oil,Horizontal,Yes,Yes,12,,,,Equation W-10A,,,302.885
Gulf Coast Facility,1008714,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - GONZALES  TX (177) - Oil,Horizontal,Yes,No,15,,,,Equation W-10B,917.488333333,19.0066666667,.004
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WISE  VA (195) - Other tight reservoir rock,Horizontal,No,Yes,1,,,,Equation W-10B,0,14000,.06
ConocoPhillips Gulf Coast Basin 220  Production,1007485,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - BEE  TX (25) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,0,0
Gulf Coast Basin - AAPG Province 220,1008936,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - BRAZOS  TX (41) - Shale gas,Horizontal,No,Yes,3,,,,Equation W-10B,0,0,0
Gulf Coast Basin - AAPG Province 220,1008936,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - BRAZOS  TX (41) - Shale gas,Vertical,No,Yes,1,,,,Equation W-10B,0,0,0
Pioneer Natural Resources USA  Inc.  Gulf Coast Basin,1008604,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - DE WITT  TX (123) - Shale gas,Horizontal,No,Yes,37,,,,Equation W-10A,,,0
Equinor Texas Onshore Properties - Eagle Ford,1010943,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - DE WITT  TX (123) - Shale gas,Horizontal,Yes,No,12,,,,Equation W-10B,22029000,6774,4.153
ConocoPhillips Gulf Coast Basin 220  Production,1007485,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - DE WITT  TX (123) - Shale gas,Horizontal,No,Yes,17,,,,Equation W-10B,0,0,0
Gulf Coast Basin - AAPG Province 220,1008936,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - DIMMIT  TX (127) - Shale gas,Horizontal,Yes,Yes,171,,,,Equation W-10B,4870,0,93.41
Gulf Coast Basin - AAPG Province 220,1008936,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - DIMMIT  TX (127) - Shale gas,Vertical,Yes,Yes,4,,,,Equation W-10B,4870,0,2.39
Rosetta Resources 220 Gulf Coast Basin,1010084,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - DIMMIT  TX (127) - Shale gas,Horizontal,Yes,No,5,,,,Equation W-10B,1281000,14125,6.87
SM Energy (Basin 220) South Texas,1009624,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - DIMMIT  TX (127) - Shale gas,Horizontal,No,Yes,7,,,,Equation W-10A,,,114.23
Marathon Oil EF - Gulf Coast Basin (AAPG Basin Number 220),1008293,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - KARNES  TX (255) - Shale gas,Horizontal,Yes,Yes,1,,,,Equation W-10B,1196576,76930,.339
Marathon Oil EF - Gulf Coast Basin (AAPG Basin Number 220),1008293,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - KARNES  TX (255) - Shale gas,Horizontal,Yes,Yes,1,,,,Equation W-10B,1067358,89670,.303
