EF_W_COMP_WORKOVERS_NO_FRAC.FACILITY_NAME,EF_W_COMP_WORKOVERS_NO_FRAC.FACILITY_ID,EF_W_COMP_WORKOVERS_NO_FRAC.REPORTING_YEAR,EF_W_COMP_WORKOVERS_NO_FRAC.TABLE_NUM,EF_W_COMP_WORKOVERS_NO_FRAC.TABLE_DESC,EF_W_COMP_WORKOVERS_NO_FRAC.INDUSTRY_SEGMENT,EF_W_COMP_WORKOVERS_NO_FRAC.SUB_BASIN_IDENTIFIER,EF_W_COMP_WORKOVERS_NO_FRAC.TOTAL_COMP_VENTED_NO_FLARING,EF_W_COMP_WORKOVERS_NO_FRAC.TOTAL_HOURS_COMP_NO_FLR,EF_W_COMP_WORKOVERS_NO_FRAC.ANNUAL_CH4_EMISSIONS_NO_FLR,EF_W_COMP_WORKOVERS_NO_FRAC.TOTAL_COMP_VENTED_TO_FLARE,EF_W_COMP_WORKOVERS_NO_FRAC.TOTAL_HOURS_VENTED_TO_FLARE,EF_W_COMP_WORKOVERS_NO_FRAC.ANNUAL_CH4_EMISSIONS_FLR,EF_W_COMP_WORKOVERS_NO_FRAC.WORKOVERS_WITHOUT_FLARING,EF_W_COMP_WORKOVERS_NO_FRAC.TOTAL_WORKOVERS_NO_FLARING,EF_W_COMP_WORKOVERS_NO_FRAC.CH4_EMISSIONS_WKOVR_NO_FLARING,EF_W_COMP_WORKOVERS_NO_FRAC.TOTAL_WORKOVERS_WITH_FLARING,EF_W_COMP_WORKOVERS_NO_FRAC.CH4_EMISSIONS_WKOVR_FLARING
Chesapeake Operating LLC  345 - Arkoma Basin,1009310,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],345 - JOHNSON  AR (71) - High permeability gas,,,,,,,Yes,1,.057,0,0
Chesapeake Operating LLC  345 - Arkoma Basin,1009310,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],345 - LATIMER  OK (77) - High permeability gas,,,,,,,Yes,1,.057,0,0
345 Arkoma Bravo NR,1011963,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],345 - LATIMER  OK (77) - High permeability gas,,,,,,,Yes,1,.74,0,0
345 Arkoma Basin - BP America Production Company,1009169,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],345 - LATIMER  OK (77) - High permeability gas,,,,,,,Yes,56,3.19,0,0
Chesapeake Operating LLC  345 - Arkoma Basin,1009310,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],345 - LE FLORE  OK (79) - High permeability gas,,,,,,,Yes,2,.114,0,0
345 Arkoma Basin - BP America Production Company,1009169,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],345 - LE FLORE  OK (79) - High permeability gas,,,,,,,Yes,4,.229,0,0
Foundation Energy Management 345 Arkoma Basin,1008753,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],345 - LE FLORE  OK (79) - High permeability gas,,,,,,,Yes,1,.058,0,0
XTO Energy Inc 345 Arkoma,1009392,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],345 - LOGAN  AR (83) - High permeability gas,,,,,,,Yes,1,.06,0,0
Foundation Energy Management 345 Arkoma Basin,1008753,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],345 - LOGAN  AR (83) - High permeability gas,,,,,,,Yes,1,.058,0,0
Chesapeake Operating LLC  345 - Arkoma Basin,1009310,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],345 - PITTSBURG  OK (121) - High permeability gas,,,,,,,Yes,2,.112,0,0
345 Arkoma Bravo NR,1011963,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],345 - PITTSBURG  OK (121) - High permeability gas,,,,,,,Yes,1,1.3,0,0
345 Arkoma Basin - BP America Production Company,1009169,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],345 - PITTSBURG  OK (121) - High permeability gas,,,,,,,Yes,14,.777,0,0
Foundation Energy Management 345 Arkoma Basin,1008753,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],345 - POPE  AR (115) - High permeability gas,,,,,,,Yes,4,.232,0,0
Foundation Energy Management 345 Arkoma Basin,1008753,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],345 - SEBASTIAN  AR (131) - High permeability gas,,,,,,,Yes,5,.291,0,0
345 Arkoma Basin - BP America Production Company,1009169,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],345 - SEQUOYAH  OK (135) - High permeability gas,,,,,,,No,0,0,0,0
XTO Energy Inc 345 Arkoma,1009392,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],345 - CLEBURNE  AR (23) - Shale gas,,,,,,,Yes,2,.11,0,0
Merit Energy Arkoma Basin  AAPG Basin 345,1008588,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],345 - CLEBURNE  AR (23) - Shale gas,,,,,,,Yes,2,.11,0,0
345 Arkoma Basin - BP America Production Company,1009169,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],345 - COAL  OK (29) - Shale gas,,,,,,,Yes,29,1.63,0,0
CR 345 Arkoma,1009571,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],345 - COAL  OK (29) - Shale gas,,,,,,,Yes,3,.147,0,0
Merit Energy Arkoma Basin  AAPG Basin 345,1008588,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],345 - CONWAY  AR (29) - Shale gas,,,,,,,Yes,1,.06,0,0
Merit Energy Arkoma Basin  AAPG Basin 345,1008588,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],345 - FAULKNER  AR (45) - Shale gas,,,,,,,Yes,6,.34,0,0
Stephens Production Company - ARKOMA Basin,1008474,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],345 - FRANKLIN  AR (47) - Shale gas,,,,,,,Yes,5,1.218,0,0
345 Arkoma Basin - BP America Production Company,1009169,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],345 - HASKELL  OK (61) - Shale gas,,,,,,,No,0,0,0,0
345 Arkoma Basin - BP America Production Company,1009169,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],345 - PITTSBURG  OK (121) - Shale gas,,,,,,,Yes,62,3.487,0,0
CR 345 Arkoma,1009571,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],345 - PITTSBURG  OK (121) - Shale gas,,,,,,,Yes,4,.195,0,0
Stephens Production Company - ARKOMA Basin,1008474,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],345 - SEBASTIAN  AR (131) - Shale gas,,,,,,,Yes,6,1.462,0,0
XTO Energy Inc 345 Arkoma,1009392,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],345 - VAN BUREN  AR (141) - Shale gas,,,,,,,Yes,2,.11,0,0
Merit Energy Arkoma Basin  AAPG Basin 345,1008588,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],345 - VAN BUREN  AR (141) - Shale gas,,,,,,,Yes,2,.12,0,0
XTO Energy Inc 345 Arkoma,1009392,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],345 - WHITE  AR (145) - Shale gas,,,,,,,Yes,5,.29,0,0
Merit Energy Arkoma Basin  AAPG Basin 345,1008588,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],345 - WHITE  AR (145) - Shale gas,,,,,,,Yes,27,1.55,0,0
Chevron MCA 430 Permian Basin,1009240,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],430 - REEVES  TX (389) - High permeability gas,,,,,,,Yes,1,.056,0,0
Chevron MCA 430 Permian Basin,1009240,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],430 - UPTON  TX (461) - High permeability gas,,,,,,,Yes,3,.13,0,0
Chevron MCA 430 Permian Basin,1009240,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],430 - WARD  TX (475) - High permeability gas,,,,,,,Yes,3,.122,0,0
Chevron MCA 430 Permian Basin,1009240,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],430 - WINKLER  TX (495) - High permeability gas,,,,,,,Yes,3,.154,0,0
YPC 430 Permian Basin,1008229,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],430 - CHAVES  NM (5) - Shale gas,,,,,,,No,2,.104,0,0
Cimarex Energy Co. 430 Permian,1008544,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],430 - CULBERSON  TX (109) - Shale gas,,,,,,,No,0,0,7,0
Matador Production Company - Permian Basin,1012068,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],430 - EDDY  NM (15) - Shale gas,,,,,,,Yes,0,0,2,.037
YPC 430 Permian Basin,1008229,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],430 - EDDY  NM (15) - Shale gas,,,,,,,No,5,.25,0,0
Samson Resources 260 East Texas Basin,1008850,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],260 - HARRISON  TX (203) - Oil,,,,,,,Yes,1,.1,0,0
Samson Resources 260 East Texas Basin,1008850,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],260 - SHELBY  TX (419) - Oil,,,,,,,Yes,1,.1,0,0
Riviera Resources 260 East Texas Basin Production Segment,1010396,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],260 - CHEROKEE  TX (73) - High permeability gas,,,,,,,Yes,9,.509,0,0
Riviera Resources 260 East Texas Basin Production Segment,1010396,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],260 - FREESTONE  TX (161) - High permeability gas,,,,,,,Yes,335,18.823,1,.056
260 East Texas Basin - BP America Production Company,1009170,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],260 - GREGG  TX (183) - High permeability gas,,,,,,,No,0,0,0,0
Riviera Resources 260 East Texas Basin Production Segment,1010396,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],260 - HARRISON  TX (203) - High permeability gas,,,,,,,Yes,32,1.679,0,0
260 East Texas Basin - BP America Production Company,1009170,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],260 - HARRISON  TX (203) - High permeability gas,,,,,,,Yes,11,.597,0,0
EP Energy E&P 575 Uinta basin,1009350,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],575 - DUCHESNE  UT (13) - Oil,,,,,,,No,0,.109,36,.038
Badlands Energy  Inc.,1012013,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],575 - UINTAH  UT (47) - Oil,,,,,,,No,0,0,5,.005
XTO Energy Inc 575 Uintah,1009389,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],575 - UINTAH  UT (47) - High permeability gas,,,,,,,Yes,8,.43,0,0
Chesapeake Operating LLC  360 - Anadarko Basin,1008530,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - ALFALFA  OK (3) - High permeability gas,,,,,,,Yes,1,.052,0,0
Moneta Divide Gas Field,1011895,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],530 - FREMONT  WY (13) - Other tight reservoir rock,,,,,,,Yes,3,.153,0,0
BREITBURN OPERATING LP-BASIN 535,1010157,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],535 - CARBON  WY (7) - High permeability gas,,,,,,,Yes,1,.052,0,0
Chevron MCA 535 Green River Basin,1009052,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],535 - MOFFAT  CO (81) - High permeability gas,,,,,,,Yes,2,.101,0,0
Chevron MCA 535 Green River Basin,1009052,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],535 - SUBLETTE  WY (35) - High permeability gas,,,,,,,Yes,1,.054,0,0
Riviera Resources 535 Green River Basin Production Segment,1010397,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],535 - SUBLETTE  WY (35) - High permeability gas,,,,,,,Yes,1,.054,0,0
Caerus Oil and Gas Green River Basin (535) Operations,1009258,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],535 - SWEETWATER  WY (37) - High permeability gas,,,,,,,No,0,0,0,0
BREITBURN OPERATING LP-BASIN 535,1010157,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],535 - SWEETWATER  WY (37) - High permeability gas,,,,,,,Yes,1,.05,0,0
Chevron MCA 535 Green River Basin,1009052,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],535 - SWEETWATER  WY (37) - High permeability gas,,,,,,,Yes,2,.102,0,0
535 Green River Basin QEP Energy Company,1008295,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],535 - CARBON  WY (7) - Other tight reservoir rock,,,,,,,Yes,1,.051,0,0
535 Green River Basin - BP America Production Company,1008622,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],535 - CARBON  WY (7) - Other tight reservoir rock,,,,,,,No,140,6.941,6,29.748
Riviera Resources 535 Green River Basin Production Segment,1010397,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],535 - CARBON  WY (7) - Other tight reservoir rock,,,,,,,Yes,1,.052,0,0
Dominion Energy Wexpro - Green River Basin (Prod),1008590,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],535 - MOFFAT  CO (81) - Other tight reservoir rock,,,,,,,Yes,17,.85,0,0
Caerus Oil and Gas Green River Basin (535) Operations,1009258,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],535 - SUBLETTE  WY (35) - Other tight reservoir rock,,,,,,,Yes,22,1.203,0,0
Jonah Energy LLC_AAPG 535_Green River Basin,1011450,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],535 - SUBLETTE  WY (35) - Other tight reservoir rock,,,,,,,Yes,469,25.251,0,0
Ultra Resources/Green River Basin,1009125,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],535 - SUBLETTE  WY (35) - Other tight reservoir rock,,,,,,,Yes,0,0,7,.008
535 Green River Basin QEP Energy Company,1008295,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],535 - SUBLETTE  WY (35) - Other tight reservoir rock,,,,,,,Yes,11,.608,0,0
Dominion Energy Wexpro - Green River Basin (Prod),1008590,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],535 - SWEETWATER  WY (37) - Other tight reservoir rock,,,,,,,Yes,25,1.312,0,0
535 Green River Basin QEP Energy Company,1008295,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],535 - SWEETWATER  WY (37) - Other tight reservoir rock,,,,,,,No,0,0,0,0
Samson Resources 535 Green River Basin,1008852,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],535 - SWEETWATER  WY (37) - Other tight reservoir rock,,,,,,,Yes,2,.1,0,0
535 Green River Basin - BP America Production Company,1008622,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],535 - SWEETWATER  WY (37) - Other tight reservoir rock,,,,,,,No,500,24.322,4,21.765
MERIT ENERGY CO LLC 360 ANADARKO BASIN,1009274,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - SEWARD  KS (175) - High permeability gas,,,,,,,Yes,1,0,0,0
Riviera Resources 360 Anadarko Basin Production Segment,1008306,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - SEWARD  KS (175) - High permeability gas,,,,,,,Yes,4,.161,0,0
Sheridan Production Company LLC 360 Anadarko Basin,1009845,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - BEAVER  OK (7) - High permeability gas,,,,,,,Yes,6,.284,0,0
Chesapeake Operating LLC  360 - Anadarko Basin,1008530,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - BEAVER  OK (7) - High permeability gas,,,,,,,Yes,4,.2,0,0
Enervest Operating  L.L.C. 360 Anadarko Basin,1009663,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - BECKHAM  OK (9) - High permeability gas,,,,,,,Yes,12,.518,0,0
Chesapeake Operating LLC  360 - Anadarko Basin,1008530,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - BECKHAM  OK (9) - High permeability gas,,,,,,,Yes,4,.225,0,0
MERIT ENERGY CO LLC 360 ANADARKO BASIN,1009274,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - BLAINE  OK (11) - High permeability gas,,,,,,,Yes,1,0,0,0
Chesapeake Operating LLC  360 - Anadarko Basin,1008530,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - BLAINE  OK (11) - High permeability gas,,,,,,,Yes,15,.792,0,0
Marathon Oil Anadarko Basin (AAPG 360),1009353,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - CADDO  OK (15) - High permeability gas,,,,,,,Yes,1,.056,0,0
Chesapeake Operating LLC  360 - Anadarko Basin,1008530,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - CADDO  OK (15) - High permeability gas,,,,,,,Yes,9,.493,0,0
MERIT ENERGY CO LLC 360 ANADARKO BASIN,1009274,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - CANADIAN  OK (17) - High permeability gas,,,,,,,Yes,3,.1,0,0
Marathon Oil Anadarko Basin (AAPG 360),1009353,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - CANADIAN  OK (17) - High permeability gas,,,,,,,Yes,2,.103,0,0
Cimarex Energy Co. 360 Anadarko,1008702,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - CANADIAN  OK (17) - High permeability gas,,,,,,,No,0,0,1,0
Chesapeake Operating LLC  360 - Anadarko Basin,1008530,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - CANADIAN  OK (17) - High permeability gas,,,,,,,Yes,6,.276,0,0
Chesapeake Operating LLC  360 - Anadarko Basin,1008530,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - DEWEY  OK (43) - High permeability gas,,,,,,,Yes,3,.144,0,0
FourPoint Energy  LLC 360 Anadarko Basin,1011854,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - ELLIS  OK (45) - High permeability gas,,,,,,,Yes,4,.182,0,0
MERIT ENERGY CO LLC 360 ANADARKO BASIN,1009274,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - ELLIS  OK (45) - High permeability gas,,,,,,,Yes,9,.5,0,0
Riviera Resources 360 Anadarko Basin Production Segment,1008306,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - FINNEY  KS (55) - High permeability gas,,,,,,,Yes,48,1.847,0,0
Sheridan Production Company LLC 360 Anadarko Basin,1009845,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - GRADY  OK (51) - High permeability gas,,,,,,,Yes,16,.756,0,0
MERIT ENERGY CO LLC 360 ANADARKO BASIN,1009274,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - GRADY  OK (51) - High permeability gas,,,,,,,Yes,1,0,0,0
Chesapeake Operating LLC  360 - Anadarko Basin,1008530,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - GRADY  OK (51) - High permeability gas,,,,,,,Yes,7,.381,0,0
Riviera Resources 360 Anadarko Basin Production Segment,1008306,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - GRANT  KS (67) - High permeability gas,,,,,,,Yes,30,1.289,0,0
Riviera Resources 360 Anadarko Basin Production Segment,1008306,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - HAMILTON  KS (75) - High permeability gas,,,,,,,Yes,8,.339,0,0
Sheridan Production Company LLC 360 Anadarko Basin,1009845,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - HARPER  OK (59) - High permeability gas,,,,,,,Yes,6,.284,0,0
Riviera Resources 360 Anadarko Basin Production Segment,1008306,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - HASKELL  KS (81) - High permeability gas,,,,,,,Yes,25,1.129,0,0
Chesapeake Operating LLC  360 - Anadarko Basin,1008530,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - HEMPHILL  TX (211) - High permeability gas,,,,,,,Yes,1,.056,0,0
Chevron MCA 360 Anadarko Basin,1008956,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - HEMPHILL  TX (211) - High permeability gas,,,,,,,Yes,3,.144,0,0
Samson Resources 360 Anadarko Basin,1008321,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - HEMPHILL  TX (211) - High permeability gas,,,,,,,Yes,1,.1,0,0
Pioneer Natural Resources USA  Inc.  Anadarko,1008605,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - HUTCHINSON  TX (233) - High permeability gas,,,,,,,Yes,1,.036,0,0
MERIT ENERGY CO LLC 360 ANADARKO BASIN,1009274,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - KEARNY  KS (93) - High permeability gas,,,,,,,Yes,1,0,0,0
Riviera Resources 360 Anadarko Basin Production Segment,1008306,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - KEARNY  KS (93) - High permeability gas,,,,,,,Yes,37,1.543,0,0
Chesapeake Operating LLC  360 - Anadarko Basin,1008530,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - KINGFISHER  OK (73) - High permeability gas,,,,,,,Yes,2,.109,0,0
Chesapeake Operating LLC  360 - Anadarko Basin,1008530,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - LIPSCOMB  TX (295) - High permeability gas,,,,,,,Yes,1,.049,0,0
Chesapeake Operating LLC  360 - Anadarko Basin,1008530,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - MAJOR  OK (93) - High permeability gas,,,,,,,Yes,2,.104,0,0
Pioneer Natural Resources USA  Inc.  Anadarko,1008605,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - MOORE  TX (341) - High permeability gas,,,,,,,Yes,13,.472,0,0
Riviera Resources 360 Anadarko Basin Production Segment,1008306,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - MORTON  KS (129) - High permeability gas,,,,,,,Yes,4,.165,0,0
Enervest Operating  L.L.C. 360 Anadarko Basin,1009663,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],360 - OCHILTREE  TX (357) - High permeability gas,,,,,,,Yes,1,.043,0,0
