EF_W_EQUIP_LEAKS_ONSHORE.FACILITY_NAME,EF_W_EQUIP_LEAKS_ONSHORE.FACILITY_ID,EF_W_EQUIP_LEAKS_ONSHORE.REPORTING_YEAR,EF_W_EQUIP_LEAKS_ONSHORE.TABLE_NUM,EF_W_EQUIP_LEAKS_ONSHORE.TABLE_DESC,EF_W_EQUIP_LEAKS_ONSHORE.INDUSTRY_SEGMENT,EF_W_EQUIP_LEAKS_ONSHORE.LOCATION,EF_W_EQUIP_LEAKS_ONSHORE.SOURCE_TYPE_COUNT,EF_W_EQUIP_LEAKS_ONSHORE.AVERAGE_TIME_OPERATIONAL,EF_W_EQUIP_LEAKS_ONSHORE.CO2_EMISSIONS,EF_W_EQUIP_LEAKS_ONSHORE.CH4_EMISSIONS,EF_W_EQUIP_LEAKS_ONSHORE.EQUIPMENT_TYPE_CALC_METHOD,EF_W_EQUIP_LEAKS_ONSHORE.EQUIPMENT_TYPE,EF_W_EQUIP_LEAKS_ONSHORE.EQUIPMENT_PRESENT,EF_W_EQUIP_LEAKS_ONSHORE.EQUIPMENT_TYPE_COUNT,EF_W_EQUIP_LEAKS_ONSHORE.MAJ_EQ_TYPE_COUNT_EAST,EF_W_EQUIP_LEAKS_ONSHORE.MAJ_EQ_TYPE_COUNT_WEST,EF_W_EQUIP_LEAKS_ONSHORE.EMISSION_SRC_TYPE,EF_W_EQUIP_LEAKS_ONSHORE.SERVICE_TYPE
580 San Juan Basin DEC,1008974,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Meters/piping,Yes,368,,,,
580 San Juan Basin DEC,1008974,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Compressors,Yes,274,,,,
580 San Juan Basin DEC,1008974,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,In-line heaters,No,,,,,
580 San Juan Basin DEC,1008974,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Dehydrators,Yes,5,,,,
EOG Resources  Inc. 420 Fort Worth syncline,1008977,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Wellhead,Yes,556,,,,
EOG Resources  Inc. 420 Fort Worth syncline,1008977,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Separators,Yes,628,,,,
EOG Resources  Inc. 420 Fort Worth syncline,1008977,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Meters/piping,Yes,269,,,,
EOG Resources  Inc. 420 Fort Worth syncline,1008977,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Compressors,Yes,400,,,,
EOG Resources  Inc. 420 Fort Worth syncline,1008977,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,In-line heaters,Yes,1,,,,
EOG Resources  Inc. 420 Fort Worth syncline,1008977,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Dehydrators,No,,,,,
EOG Resources  Inc. 415 Strawn basin,1008114,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Wellhead,Yes,919,,,,
EOG Resources  Inc. 415 Strawn basin,1008114,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Separators,Yes,1203,,,,
EOG Resources  Inc. 415 Strawn basin,1008114,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Meters/piping,Yes,417,,,,
EOG Resources  Inc. 415 Strawn basin,1008114,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Compressors,Yes,395,,,,
EOG Resources  Inc. 415 Strawn basin,1008114,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,In-line heaters,No,,,,,
EOG Resources  Inc. 415 Strawn basin,1008114,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Dehydrators,Yes,2,,,,
XPR Resources LLC,1008298,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Wellhead,Yes,61,,,,
XPR Resources LLC,1008298,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Separators,Yes,40,,,,
XPR Resources LLC,1008298,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Meters/piping,Yes,19,,,,
XPR Resources LLC,1008298,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Compressors,No,,,,,
XPR Resources LLC,1008298,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,In-line heaters,Yes,51,,,,
XPR Resources LLC,1008298,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Dehydrators,No,,,,,
EOG Resources  Inc. 160A Appalachian basin (Eastern Overthrust area),1008350,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Eastern U.S.,,,,,Component Count Method 1,Wellhead,Yes,94,,,,
EOG Resources  Inc. 160A Appalachian basin (Eastern Overthrust area),1008350,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Eastern U.S.,,,,,Component Count Method 1,Separators,Yes,90,,,,
EOG Resources  Inc. 160A Appalachian basin (Eastern Overthrust area),1008350,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Eastern U.S.,,,,,Component Count Method 1,Meters/piping,Yes,48,,,,
EOG Resources  Inc. 160A Appalachian basin (Eastern Overthrust area),1008350,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Compressors,No,,,,,
EOG Resources  Inc. 160A Appalachian basin (Eastern Overthrust area),1008350,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Eastern U.S.,,,,,Component Count Method 1,In-line heaters,Yes,1,,,,
EOG Resources  Inc. 160A Appalachian basin (Eastern Overthrust area),1008350,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Eastern U.S.,,,,,Component Count Method 1,Dehydrators,Yes,7,,,,
EOG Resources  Inc. 540 Denver basin,1008979,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Wellhead,No,,,,,
EOG Resources  Inc. 540 Denver basin,1008979,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Separators,No,,,,,
EOG Resources  Inc. 540 Denver basin,1008979,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Meters/piping,No,,,,,
EOG Resources  Inc. 540 Denver basin,1008979,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Compressors,No,,,,,
EOG Resources  Inc. 540 Denver basin,1008979,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,In-line heaters,No,,,,,
EOG Resources  Inc. 540 Denver basin,1008979,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Dehydrators,No,,,,,
TEP Rocky Mountain  LLC - 595 Piceance basin,1008355,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Wellhead,Yes,4727,,,,
TEP Rocky Mountain  LLC - 595 Piceance basin,1008355,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Separators,Yes,1919,,,,
TEP Rocky Mountain  LLC - 595 Piceance basin,1008355,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Meters/piping,Yes,948,,,,
TEP Rocky Mountain  LLC - 595 Piceance basin,1008355,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Compressors,Yes,16,,,,
TEP Rocky Mountain  LLC - 595 Piceance basin,1008355,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,In-line heaters,Yes,3864,,,,
TEP Rocky Mountain  LLC - 595 Piceance basin,1008355,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Dehydrators,No,,,,,
EOG Resources  Inc. 400 Ouachita folded belt,1009246,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Wellhead,Yes,21,,,,
EOG Resources  Inc. 400 Ouachita folded belt,1009246,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Separators,Yes,32,,,,
EOG Resources  Inc. 400 Ouachita folded belt,1009246,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Meters/piping,Yes,9,,,,
EOG Resources  Inc. 400 Ouachita folded belt,1009246,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Compressors,Yes,9,,,,
EOG Resources  Inc. 400 Ouachita folded belt,1009246,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,In-line heaters,No,,,,,
EOG Resources  Inc. 400 Ouachita folded belt,1009246,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Dehydrators,Yes,1,,,,
EOG Resources  Inc. 515 Powder River basin,1008396,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Wellhead,Yes,48,,,,
EOG Resources  Inc. 515 Powder River basin,1008396,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Separators,Yes,118,,,,
EOG Resources  Inc. 515 Powder River basin,1008396,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Meters/piping,Yes,37,,,,
EOG Resources  Inc. 515 Powder River basin,1008396,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Compressors,No,,,,,
EOG Resources  Inc. 515 Powder River basin,1008396,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,In-line heaters,Yes,41,,,,
EOG Resources  Inc. 515 Powder River basin,1008396,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Dehydrators,Yes,41,,,,
WPX Energy Williston  LLC - 395 Williston basin,1009253,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Wellhead,No,,,,,
WPX Energy Williston  LLC - 395 Williston basin,1009253,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Separators,No,,,,,
WPX Energy Williston  LLC - 395 Williston basin,1009253,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Meters/piping,No,,,,,
WPX Energy Williston  LLC - 395 Williston basin,1009253,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Compressors,No,,,,,
WPX Energy Williston  LLC - 395 Williston basin,1009253,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,In-line heaters,No,,,,,
WPX Energy Williston  LLC - 395 Williston basin,1009253,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Dehydrators,No,,,,,
Aruba Petroleum  Inc. 420 Fort Worth Syncline,1008356,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Wellhead,Yes,201,,,,
Aruba Petroleum  Inc. 420 Fort Worth Syncline,1008356,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Separators,Yes,201,,,,
Aruba Petroleum  Inc. 420 Fort Worth Syncline,1008356,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Meters/piping,No,,,,,
Aruba Petroleum  Inc. 420 Fort Worth Syncline,1008356,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Compressors,Yes,96,,,,
Aruba Petroleum  Inc. 420 Fort Worth Syncline,1008356,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,In-line heaters,No,,,,,
Aruba Petroleum  Inc. 420 Fort Worth Syncline,1008356,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Dehydrators,No,,,,,
California Resources Production Corporation – San Joaquin Valley Basin 745,1008402,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Wellhead,No,,,,,
California Resources Production Corporation – San Joaquin Valley Basin 745,1008402,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Separators,No,,,,,
California Resources Production Corporation – San Joaquin Valley Basin 745,1008402,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Meters/piping,No,,,,,
California Resources Production Corporation – San Joaquin Valley Basin 745,1008402,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Compressors,No,,,,,
California Resources Production Corporation – San Joaquin Valley Basin 745,1008402,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,In-line heaters,No,,,,,
California Resources Production Corporation – San Joaquin Valley Basin 745,1008402,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Dehydrators,No,,,,,
California Resources Elk Hills  LLC - San Joaquin Valley Production Basin,1008406,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Wellhead,Yes,142,,,,
California Resources Elk Hills  LLC - San Joaquin Valley Production Basin,1008406,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Separators,Yes,14,,,,
California Resources Elk Hills  LLC - San Joaquin Valley Production Basin,1008406,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Meters/piping,Yes,142,,,,
California Resources Elk Hills  LLC - San Joaquin Valley Production Basin,1008406,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Compressors,Yes,9,,,,
California Resources Elk Hills  LLC - San Joaquin Valley Production Basin,1008406,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,In-line heaters,No,,,,,
California Resources Elk Hills  LLC - San Joaquin Valley Production Basin,1008406,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Dehydrators,No,,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Eastern U.S.,,,,,Component Count Method 1,Wellhead,Yes,1279,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Eastern U.S.,,,,,Component Count Method 1,Separators,Yes,375,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Eastern U.S.,,,,,Component Count Method 1,Meters/piping,Yes,1270,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Eastern U.S.,,,,,Component Count Method 1,Compressors,Yes,9,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Eastern U.S.,,,,,Component Count Method 1,In-line heaters,Yes,132,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Dehydrators,No,,,,,
Energen Resources 580 San Juan Basin,1008408,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Wellhead,Yes,432,,,,
Energen Resources 580 San Juan Basin,1008408,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Separators,Yes,378,,,,
Energen Resources 580 San Juan Basin,1008408,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Meters/piping,Yes,432,,,,
Energen Resources 580 San Juan Basin,1008408,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Compressors,Yes,60,,,,
Energen Resources 580 San Juan Basin,1008408,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,In-line heaters,No,,,,,
Energen Resources 580 San Juan Basin,1008408,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Dehydrators,No,,,,,
Newfield.345.Arkoma Basin,1009113,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Wellhead,Yes,304,,,,
Newfield.345.Arkoma Basin,1009113,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Separators,Yes,305,,,,
Newfield.345.Arkoma Basin,1009113,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Meters/piping,Yes,210,,,,
Newfield.345.Arkoma Basin,1009113,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Compressors,Yes,75,,,,
Newfield.345.Arkoma Basin,1009113,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,In-line heaters,Yes,2,,,,
Newfield.345.Arkoma Basin,1009113,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Dehydrators,No,,,,,
Ovintiv USA Inc. 355.Chautauqua Platform,1009115,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Wellhead,Yes,194,,,,
Ovintiv USA Inc. 355.Chautauqua Platform,1009115,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Separators,Yes,203,,,,
Ovintiv USA Inc. 355.Chautauqua Platform,1009115,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Meters/piping,Yes,114,,,,
Ovintiv USA Inc. 355.Chautauqua Platform,1009115,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Compressors,Yes,25,,,,
Ovintiv USA Inc. 355.Chautauqua Platform,1009115,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,In-line heaters,Yes,1,,,,
Ovintiv USA Inc. 355.Chautauqua Platform,1009115,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Dehydrators,No,,,,,
220 Gulf Coast,1009263,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Wellhead,No,,,,,
220 Gulf Coast,1009263,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Separators,No,,,,,
220 Gulf Coast,1009263,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Meters/piping,No,,,,,
220 Gulf Coast,1009263,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Compressors,No,,,,,
220 Gulf Coast,1009263,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,In-line heaters,No,,,,,
220 Gulf Coast,1009263,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Dehydrators,No,,,,,
Los Angeles Basin 760 THUMS Long Beach Company,1008409,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Wellhead,No,,,,,
Los Angeles Basin 760 THUMS Long Beach Company,1008409,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Separators,No,,,,,
Los Angeles Basin 760 THUMS Long Beach Company,1008409,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Meters/piping,No,,,,,
Los Angeles Basin 760 THUMS Long Beach Company,1008409,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Compressors,No,,,,,
Los Angeles Basin 760 THUMS Long Beach Company,1008409,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,In-line heaters,No,,,,,
Los Angeles Basin 760 THUMS Long Beach Company,1008409,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Dehydrators,No,,,,,
355 Chatauque Platform,1009264,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Wellhead,No,,,,,
355 Chatauque Platform,1009264,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Separators,No,,,,,
355 Chatauque Platform,1009264,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Meters/piping,No,,,,,
355 Chatauque Platform,1009264,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Compressors,No,,,,,
355 Chatauque Platform,1009264,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,In-line heaters,No,,,,,
355 Chatauque Platform,1009264,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Dehydrators,No,,,,,
MERIT ENERGY CO LLC 430 PERMIAN BASIN,1009273,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Wellhead,Yes,143,,,,
MERIT ENERGY CO LLC 430 PERMIAN BASIN,1009273,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Separators,Yes,17,,,,
MERIT ENERGY CO LLC 430 PERMIAN BASIN,1009273,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Meters/piping,Yes,140,,,,
MERIT ENERGY CO LLC 430 PERMIAN BASIN,1009273,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Compressors,Yes,6,,,,
